Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y,Vision_Score,Defensive_Vulnerability,Defensive_Rating_100
Home,RECOVERY,INTERCEPTION,1,9354,374.16,9354,374.16,Player6,,0.22,0.36,,,3389.5394453013373,False,70.94181198834283
Home,PASS,,1,9390,375.6,9442,377.68,Player6,Player10,0.29,0.38,0.55,0.13,984.9736093164116,True,20.61513480908679
Home,PASS,DEEP BALL,1,9599,383.96,9628,385.12,Player10,Player8,0.87,0.29,0.96,0.37,4654.021573452434,False,97.40695713431997
Home,SHOT,ON TARGET-SAVED,1,9628,385.12,9632,385.28,Player8,,0.96,0.37,0.98,0.46,2487.712256654748,True,52.066901135297904
Away,RECOVERY,SAVED,1,9634,385.36,9634,385.36,Player25,,0.97,0.44,,,3389.2415596034384,False,70.93557735041772
Away,BALL OUT,,1,9634,385.36,9663,386.52,Player25,,0.97,0.44,1.03,0.33,,False,
Home,SET PIECE,CORNER KICK,1,10387,415.48,10387,415.48,Player6,,,,,,0.0,True,0.0
Home,PASS,,1,10387,415.48,10418,416.72,Player6,Player10,0.99,0.01,0.94,0.09,700.4411772662409,True,14.659975819251036
Home,PASS,,1,10453,418.12,10477,419.08,Player10,Player6,0.94,0.09,0.87,0.1,,False,
Home,PASS,,1,10493,419.72,10527,421.08,Player6,Player5,0.86,0.11,0.78,0.36,1050.1287246492864,True,21.978807371868445
Home,PASS,,1,10551,422.04,10599,423.96,Player5,Player7,0.79,0.36,0.74,0.64,1334.9635546107995,True,27.940295438594525
Home,BALL LOST,INTERCEPTION,1,10613,424.52,10651,426.04,Player7,,0.75,0.65,0.92,0.46,773.1822794486388,True,16.182420292349576
Away,RECOVERY,INTERCEPTION,1,10653,426.12,10653,426.12,Player15,,0.91,0.47,,,3388.955821037627,True,70.92959694749256
Away,BALL LOST,HEAD-INTERCEPTION,1,10653,426.12,10709,428.36,Player15,,0.91,0.47,0.83,0.52,98.07764866629276,True,2.0527290578039934
Home,CHALLENGE,AERIAL-WON,1,10708,428.32,10708,428.32,Player8,,0.83,0.51,,,3389.5727524955987,False,70.94250909564937
Home,RECOVERY,INTERCEPTION,1,10708,428.32,10708,428.32,Player8,,0.83,0.51,,,3389.5727524955987,False,70.94250909564937
Home,PASS,HEAD,1,10708,428.32,10742,429.68,Player8,Player3,0.83,0.51,0.83,0.54,1912.932140014535,True,40.03696502528969
Away,CHALLENGE,AERIAL-LOST,1,10709,428.36,10709,428.36,Player22,,0.84,0.51,,,3389.55931090338,False,70.94222776807571
Home,BALL LOST,HEAD-INTERCEPTION,1,10742,429.68,10761,430.44,Player3,,0.83,0.54,0.87,0.45,,False,
Away,RECOVERY,INTERCEPTION,1,10761,430.44,10761,430.44,Player15,,0.86,0.47,,,3389.250812037787,False,70.93577100046032
Away,BALL LOST,HEAD-FORCED,1,10761,430.44,10801,432.04,Player15,,0.86,0.47,0.78,0.65,886.6257639151454,True,18.556750633151946
Home,CHALLENGE,AERIAL-FAULT-LOST,1,10801,432.04,10801,432.04,Player2,,0.76,0.65,,,3389.47531463258,False,70.94046975706951
Away,CHALLENGE,AERIAL-FAULT-WON,1,10801,432.04,10801,432.04,Player21,,0.76,0.65,,,3389.47531463258,False,70.94046975706951
